table,text,translation
GEM_DETAILS:MATERIAL:GLASS,clear glass,투명 유리
GEM_DETAILS:MATERIAL:GLASS,crystal glass,크리스탈 유리
GEM_DETAILS:SHAPE:NOUN:SINGULAR,gizzard stone,모래주머니돌
GEM_DETAILS:SHAPE:NOUN:PLURAL,gizzard stones,모래주머니돌
GEM_DETAILS:SHAPE:ADJECTIVE_NOUN:PREFIX,smooth,매끄러운
GEM_DETAILS:SHAPE:ADJECTIVE_NOUN:PREFIX,oval,타원형
GEM_DETAILS:SHAPE:ADJECTIVE_NOUN:PREFIX,round,원형
GEM_DETAILS:SHAPE:ADJECTIVE_NOUN:PREFIX,cushion,쿠션형
GEM_DETAILS:SHAPE:ADJECTIVE_NOUN:PREFIX,rectangular,직사각형
GEM_DETAILS:SHAPE:ADJECTIVE_NOUN:SINGULAR,pebble,조약돌
GEM_DETAILS:SHAPE:ADJECTIVE_NOUN:SINGULAR,cabochon,카보숑
GEM_DETAILS:SHAPE:ADJECTIVE_NOUN:PLURAL,pebbles,조약돌형
GEM_DETAILS:SHAPE:ADJECTIVE_NOUN:PLURAL,cabochons,카보숑 컷
GEM_DETAILS:SHAPE:ADJECTIVE:PREFIX,point cut,포인트 컷
GEM_DETAILS:SHAPE:ADJECTIVE:PREFIX,table cut,테이블 컷
GEM_DETAILS:SHAPE:ADJECTIVE:PREFIX,single cut,싱글 컷
GEM_DETAILS:SHAPE:ADJECTIVE:PREFIX,rose cut,로즈 컷
GEM_DETAILS:SHAPE:ADJECTIVE:PREFIX,briolette cut,브리올레트 컷
GEM_DETAILS:SHAPE:ADJECTIVE:PREFIX,emerald cut,에메랄드 컷
GEM_DETAILS:SHAPE:ADJECTIVE:PREFIX,marquise cut,마퀴즈 컷
GEM_DETAILS:SHAPE:ADJECTIVE:PREFIX,oval cut,오벌 컷
GEM_DETAILS:SHAPE:ADJECTIVE:PREFIX,pear cut,배형 컷
GEM_DETAILS:SHAPE:ADJECTIVE:PREFIX,square brilliant cut,스퀘어 브릴리언트 컷
GEM_DETAILS:SHAPE:ADJECTIVE:PREFIX,radiant cut,라디언트 컷
GEM_DETAILS:SHAPE:ADJECTIVE:PREFIX,trillion cut,트릴리언 컷
GEM_DETAILS:SHAPE:ADJECTIVE:PREFIX,round brilliant cut,라운드 브릴리언트 컷
GEM_DETAILS:SHAPE:ADJECTIVE:PREFIX,baguette cut,바게트 컷
GEM_DETAILS:SHAPE:ADJECTIVE:PREFIX,tapered baguette cut,테이퍼드 바게트 컷
GEM_DETAILS:SHAPE:ADJECTIVE:PREFIX,cushion cut,쿠션 컷
GEM_DETAILS:SHAPE:ADJECTIVE:PREFIX,octagon cut,옥타곤 컷
GEM_DETAILS:SHAPE:ADJECTIVE:PREFIX,square cut,스퀘어 컷
GEM_DETAILS:SHAPE:ADJECTIVE:SINGULAR,gem,보석
GEM_DETAILS:SHAPE:ADJECTIVE:PLURAL,gems,보석
